date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2018-02-01,1111.29,1155.58,954.75,1026.19,970470.71,1033001644.78,97353767.0619797,99903462221.33295,,,,,,,,,
2018-02-02,1026.19,1027.66,746.67,917.47,1783823.6,1606436956.8,97374406.0307297,89338096301.01358,-0.11198831192477532,0.608733207493138,-0.11177633470032448,,,,,,
2018-02-03,917.47,997.6,845.18,970.87,591555.32,552868551.93,97394727.7494797,94557619330.13736,0.056572694886522626,-1.1037592253454858,0.056781369828278784,,,,,,
2018-02-04,970.87,971.05,781.36,827.59,766994.32,666593264.45,97415043.1869798,80619715591.11261,-0.15967471406654912,0.2597241918820964,-0.1594661471401975,,,,,,
2018-02-05,826.34,857.82,629.08,695.08,1747376.34,1272929187.15,97435676.9994796,67725590368.79829,-0.17449091581238482,0.8233913117916257,-0.17427912483150274,,,,,,
2018-02-06,695.05,801.73,564.19,785.01,2312291.59,1556542861.3,97456058.6244797,76503980580.80281,0.12166950970071945,0.2801236344264122,0.12187866813434041,0.13428800731162457,,,,,
2018-02-07,785.16,858.28,718.28,751.81,1124767.44,895500139.13,97476492.3744797,73283801732.05757,-0.043212824103209015,-0.7206627688129973,-0.043003174663234896,0.13027215014458893,,,-0.030361076921013863,,
2018-02-08,751.86,844.86,750.02,813.55,632557.69,510550202.1,97496874.4682297,79318582223.62827,0.078923755133764,-0.5755601473404872,0.0791328308055267,0.13471476373720784,,,0.03353395712546958,,
2018-02-09,813.55,880.22,781.5,877.88,561205.79,469210004.25,97517146.2182297,85608352322.05948,0.07610252244932982,-0.11968376057594783,0.07631042288645394,0.12087435436834747,,,-0.10840806954974411,,
2018-02-10,877.66,909.32,816.09,850.75,520877.94,451412405.8,97537836.5619796,82980314455.10416,-0.03139159665364268,-0.07457193127742064,-0.031179447817118636,0.07332908539739107,,,-0.4997942828352826,,
2018-02-11,850.99,853.74,780.13,811.24,376738.95,308313754.16,97557955.9682296,79142916199.66658,-0.04755437209508371,-0.32396322679295564,-0.04734812052952835,0.06503594688680264,0.10440231330786459,,-0.12001718354806687,,
