Date,Link,USDC
2017-09-22,-0.110348057,NA
2017-09-23,-0.25188602,NA
2017-09-24,0.25188602,NA
2017-09-25,0.008298803,NA
2017-09-26,0.110816678,NA
2017-09-27,-0.086325658,NA
2017-09-28,0.259506587,NA
2017-09-29,0.302870362,NA
2017-09-30,0.310399996,NA
2017-10-01,-0.032879674,NA
2017-10-02,-0.176212124,NA
2017-10-03,-0.01675081,NA
2017-10-04,0.126751706,NA
2017-10-05,0.021347885,NA
2017-10-06,0.100395552,NA
2017-10-07,-0.019288925,NA
2017-10-08,-0.148124548,NA
2017-10-09,-0.007034027,NA
2017-10-10,0.076961041,NA
2017-10-11,0.074159843,NA
2017-10-12,-0.01700143,NA
2017-10-13,-0.124751705,NA
2017-10-14,-0.112551986,NA
2017-10-15,0.066438888,NA
2017-10-16,0.03281607,NA
2017-10-17,0.003144657,NA
2017-10-18,-0.086868673,NA
2017-10-19,-0.180303047,NA
2017-10-20,-0.275284447,NA
2017-10-21,0.124153913,NA
2017-10-22,0.070780182,NA
2017-10-23,-0.061639025,NA
2017-10-24,0.012565487,NA
2017-10-25,-0.00491344,NA
2017-10-26,-0.10435767,NA
2017-10-27,-0.002998503,NA
2017-10-28,-0.089971278,NA
2017-10-29,-0.071956442,NA
2017-10-30,0.042968905,NA
2017-10-31,-0.080986781,NA
2017-11-01,-0.129189737,NA
2017-11-02,0.043670411,NA
2017-11-03,-0.04131427,NA
2017-11-04,0.060752398,NA
2017-11-05,0.004758677,NA
2017-11-06,-0.042957765,NA
2017-11-07,0.074499804,NA
2017-11-08,0.155065561,NA
2017-11-09,-0.022479251,NA
2017-11-10,-0.106000209,NA
2017-11-11,-0.079896075,NA
2017-11-12,-0.048097283,NA
2017-11-13,0.059811457,NA
2017-11-14,-0.038761836,NA
2017-11-15,-0.017782238,NA
2017-11-16,-0.078578877,NA
2017-11-17,-0.080598309,NA
2017-11-18,0.057193829,NA
2017-11-19,-0.105070683,NA
2017-11-20,-0.023228015,NA
2017-11-21,-0.002512851,NA
2017-11-22,0.017683526,NA
2017-11-23,-0.095422546,NA
2017-11-24,0.015211284,NA
2017-11-25,-0.054283677,NA
2017-11-26,-0.013197242,NA
2017-11-27,0.019092427,NA
2017-11-28,-0.029303276,NA
2017-11-29,-0.083095609,NA
2017-11-30,0.098761725,NA
2017-12-01,-0.001815118,NA
2017-12-02,0.162531906,NA
2017-12-03,0.107410035,NA
2017-12-04,-0.03119279,NA
2017-12-05,0.355447699,NA
2017-12-06,-0.029661959,NA
2017-12-07,-0.099050934,NA
2017-12-08,-0.131647649,NA
2017-12-09,-0.045440761,NA
2017-12-10,0.127311936,NA
2017-12-11,-0.175324344,NA
2017-12-12,-0.342202911,NA
2017-12-13,0.068034558,NA
2017-12-14,0.217057957,NA
2017-12-15,0.016288401,NA
2017-12-16,0.043471543,NA
2017-12-17,0.159920401,NA
2017-12-18,0.067082983,NA
2017-12-19,-0.162375817,NA
2017-12-20,-0.102164374,NA
2017-12-21,0.139614921,NA
2017-12-22,0.206501519,NA
2017-12-23,0.22967027,NA
2017-12-24,-0.047448384,NA
2017-12-25,-0.146393652,NA
2017-12-26,-0.016579786,NA
2017-12-27,-0.003672964,NA
2017-12-28,0.036987747,NA
2017-12-29,-0.062630178,NA
2017-12-30,0.183905925,NA
2017-12-31,0.015459727,NA
2018-01-01,0.163631758,NA
2018-01-02,-0.210228363,NA
2018-01-03,-0.067004294,NA
2018-01-04,0.352090648,NA
2018-01-05,-0.025867767,NA
2018-01-06,0.090040724,NA
2018-01-07,0.028830826,NA
2018-01-08,0.07194883,NA
2018-01-09,-0.240861576,NA
2018-01-10,-0.009614951,NA
2018-01-11,-0.061746655,NA
2018-01-12,-0.066897786,NA
2018-01-13,-0.04393599,NA
2018-01-14,-0.071374856,NA
2018-01-15,-0.081703978,NA
2018-01-16,0.03879082,NA
2018-01-17,-0.017694526,NA
2018-01-18,0.042835515,NA
2018-01-19,0.080148803,NA
2018-01-20,0.318395862,NA
2018-01-21,-0.225461049,NA
2018-01-22,-0.069158613,NA
2018-01-23,0.003970229,NA
2018-01-24,-0.07399368,NA
2018-01-25,-0.042072776,NA
2018-01-26,-0.067444515,NA
2018-01-27,0.04152392,NA
2018-01-28,-0.126562723,NA
2018-01-29,-0.03931142,NA
2018-01-30,-0.048849128,NA
2018-01-31,-0.007813927,NA
2018-02-01,-0.108157554,NA
2018-02-02,0.067773747,NA
2018-02-03,-0.010262241,NA
2018-02-04,-0.037062504,NA
2018-02-05,-0.046408806,NA
2018-02-06,0.091131319,NA
2018-02-07,-0.069750916,NA
2018-02-08,-0.011440165,NA
2018-02-09,-0.00283,NA
2018-02-10,-0.01304012,NA
2018-02-11,0.049805313,NA
2018-02-12,0.103348737,NA
2018-02-13,0.192301505,NA
2018-02-14,-0.1134913,NA
2018-02-15,-0.018051032,NA
2018-02-16,0.119859956,NA
2018-02-17,0.013567937,NA
2018-02-18,0.167332712,NA
2018-02-19,0.008908473,NA
2018-02-20,-0.056736854,NA
2018-02-21,0.004106255,NA
2018-02-22,-0.045185451,NA
2018-02-23,0.055251154,NA
2018-02-24,-0.016489157,NA
2018-02-25,0.036197321,NA
2018-02-26,-0.00823769,NA
2018-02-27,0.02022276,NA
2018-02-28,-0.0501175,NA
2018-03-01,-0.013259001,NA
2018-03-02,-0.00406478,NA
2018-03-03,-0.03720986,NA
2018-03-04,-0.067698197,NA
2018-03-05,0.004077478,NA
2018-03-06,-0.051132682,NA
2018-03-07,0.05620626,NA
2018-03-08,0.000867177,NA
2018-03-09,-0.039787184,NA
2018-03-10,0.024208504,NA
2018-03-11,0.037158653,NA
2018-03-12,0.032000505,NA
2018-03-13,0.117189496,NA
2018-03-14,-0.126959096,NA
2018-03-15,-0.054558984,NA
2018-03-16,0.031903841,NA
2018-03-17,-0.045133492,NA
2018-03-18,0.023544262,NA
2018-03-19,0.005045783,NA
2018-03-20,0.013710583,NA
2018-03-21,0.120018518,NA
2018-03-22,-0.020718885,NA
2018-03-23,-0.023652825,NA
2018-03-24,0.04235685,NA
2018-03-25,-0.020375084,NA
2018-03-26,-0.02224482,NA
2018-03-27,0.009296303,NA
2018-03-28,0.025350389,NA
2018-03-29,-0.076966124,NA
2018-03-30,0.005064688,NA
